"Ukazatel","IndicatorType","Území","Uz0","Měsíce, roky","CASRMX","Hodnota"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","prosinec 1997","1997-12","8.5"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","1997","1997","8.5"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","prosinec 1998","1998-12","10.7"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","1998","1998","10.7"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","prosinec 1999","1999-12","2.1"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","1999","1999","2.1"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","leden 2000","2000-01","2.1"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","únor 2000","2000-02","2.2"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","březen 2000","2000-03","2.3"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","duben 2000","2000-04","2.4"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","květen 2000","2000-05","2.5"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","červen 2000","2000-06","2.6"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","červenec 2000","2000-07","2.9"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","srpen 2000","2000-08","3.1"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","září 2000","2000-09","3.3"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","říjen 2000","2000-10","3.6"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","listopad 2000","2000-11","3.8"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","prosinec 2000","2000-12","3.9"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","2000","2000","3.9"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","leden 2001","2001-01","4"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","únor 2001","2001-02","4"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","březen 2001","2001-03","4"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","duben 2001","2001-04","4.1"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","květen 2001","2001-05","4.2"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","červen 2001","2001-06","4.3"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","červenec 2001","2001-07","4.5"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","srpen 2001","2001-08","4.6"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","září 2001","2001-09","4.7"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","říjen 2001","2001-10","4.7"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","listopad 2001","2001-11","4.7"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","prosinec 2001","2001-12","4.7"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","2001","2001","4.7"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","leden 2002","2002-01","4.6"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","únor 2002","2002-02","4.6"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","březen 2002","2002-03","4.6"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","duben 2002","2002-04","4.5"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","květen 2002","2002-05","4.3"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","červen 2002","2002-06","3.9"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","červenec 2002","2002-07","3.5"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","srpen 2002","2002-08","3.1"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","září 2002","2002-09","2.7"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","říjen 2002","2002-10","2.4"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","listopad 2002","2002-11","2.1"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","prosinec 2002","2002-12","1.8"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","2002","2002","1.8"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","leden 2003","2003-01","1.5"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","únor 2003","2003-02","1.1"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","březen 2003","2003-03","0.8"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","duben 2003","2003-04","0.5"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","květen 2003","2003-05","0.3"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","červen 2003","2003-06","0.2"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","červenec 2003","2003-07","0.2"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","srpen 2003","2003-08","0.1"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","září 2003","2003-09","0"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","říjen 2003","2003-10","0"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","listopad 2003","2003-11","0.1"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","prosinec 2003","2003-12","0.1"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","2003","2003","0.1"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","leden 2004","2004-01","0.3"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","únor 2004","2004-02","0.5"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","březen 2004","2004-03","0.8"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","duben 2004","2004-04","1"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","květen 2004","2004-05","1.2"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","červen 2004","2004-06","1.4"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","červenec 2004","2004-07","1.7"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","srpen 2004","2004-08","2"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","září 2004","2004-09","2.2"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","říjen 2004","2004-10","2.5"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","listopad 2004","2004-11","2.7"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","prosinec 2004","2004-12","2.8"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","2004","2004","2.8"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","leden 2005","2005-01","2.8"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","únor 2005","2005-02","2.7"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","březen 2005","2005-03","2.6"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","duben 2005","2005-04","2.6"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","květen 2005","2005-05","2.5"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","červen 2005","2005-06","2.4"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","červenec 2005","2005-07","2.2"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","srpen 2005","2005-08","2.1"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","září 2005","2005-09","2"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","říjen 2005","2005-10","2"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","listopad 2005","2005-11","1.9"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","prosinec 2005","2005-12","1.9"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","2005","2005","1.9"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","leden 2006","2006-01","2"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","únor 2006","2006-02","2.1"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","březen 2006","2006-03","2.2"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","duben 2006","2006-04","2.3"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","květen 2006","2006-05","2.4"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","červen 2006","2006-06","2.5"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","červenec 2006","2006-07","2.6"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","srpen 2006","2006-08","2.7"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","září 2006","2006-09","2.8"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","říjen 2006","2006-10","2.7"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","listopad 2006","2006-11","2.6"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","prosinec 2006","2006-12","2.5"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","2006","2006","2.5"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","leden 2007","2007-01","2.4"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","únor 2007","2007-02","2.3"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","březen 2007","2007-03","2.2"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","duben 2007","2007-04","2.2"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","květen 2007","2007-05","2.1"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","červen 2007","2007-06","2.1"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","červenec 2007","2007-07","2.1"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","srpen 2007","2007-08","2"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","září 2007","2007-09","2"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","říjen 2007","2007-10","2.2"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","listopad 2007","2007-11","2.5"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","prosinec 2007","2007-12","2.8"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","2007","2007","2.8"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","leden 2008","2008-01","3.4"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","únor 2008","2008-02","3.9"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","březen 2008","2008-03","4.3"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","duben 2008","2008-04","4.7"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","květen 2008","2008-05","5"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","červen 2008","2008-06","5.4"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","červenec 2008","2008-07","5.8"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","srpen 2008","2008-08","6.1"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","září 2008","2008-09","6.4"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","říjen 2008","2008-10","6.6"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","listopad 2008","2008-11","6.5"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","prosinec 2008","2008-12","6.3"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","2008","2008","6.3"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","leden 2009","2009-01","5.9"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","únor 2009","2009-02","5.4"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","březen 2009","2009-03","5"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","duben 2009","2009-04","4.6"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","květen 2009","2009-05","4.1"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","červen 2009","2009-06","3.7"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","červenec 2009","2009-07","3.1"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","srpen 2009","2009-08","2.6"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","září 2009","2009-09","2.1"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","říjen 2009","2009-10","1.6"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","listopad 2009","2009-11","1.3"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","prosinec 2009","2009-12","1"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","2009","2009","1"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","leden 2010","2010-01","0.9"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","únor 2010","2010-02","0.8"
