Ukazatel,IndicatorType,Počet obyvatel obce,VELSKUPOBC,Území-Stát,Uz023h22.STAT,Území-Kraj,Uz023h22.KRAJ,Území-Okres,Uz023h22.OKRES,Druh nemovitosti,REPRCENNEM,Roční a 3-letá období,CAS1R3R1,Hodnota
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,,,,,Rodinné domy [Kč/m2],10302,2019,2019,34513
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,,,,,Rodinné domy [Kč/m2],10302,2020,2020,37244
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,,,,,Rodinné domy [Kč/m2],10302,2021,2021,43044
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,,,,,Rodinné domy [Kč/m2],10302,2022,2022,49782
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,,,,,Rodinné domy [Kč/m2],10302,2023,2023,48320
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,,,,,Rodinné domy [Kč/m2],10302,2024,2024,51867
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,,,,,Rodinné domy [Kč/m2],10302,2025,2025,56066
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,,,,,Byty [Kč/m2],10602,2019,2019,39306
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,,,,,Byty [Kč/m2],10602,2020,2020,44082
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,,,,,Byty [Kč/m2],10602,2021,2021,54461
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,,,,,Byty [Kč/m2],10602,2022,2022,61742
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,,,,,Byty [Kč/m2],10602,2023,2023,58641
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,,,,,Byty [Kč/m2],10602,2024,2024,63521
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,,,,,Byty [Kč/m2],10602,2025,2025,72410
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Hlavní město Praha,CZ010,,,Rodinné domy [Kč/m2],10302,2019,2019,65815
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Hlavní město Praha,CZ010,,,Rodinné domy [Kč/m2],10302,2020,2020,79703
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Hlavní město Praha,CZ010,,,Rodinné domy [Kč/m2],10302,2021,2021,95870
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Hlavní město Praha,CZ010,,,Rodinné domy [Kč/m2],10302,2022,2022,105434
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Hlavní město Praha,CZ010,,,Rodinné domy [Kč/m2],10302,2023,2023,111087
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Hlavní město Praha,CZ010,,,Rodinné domy [Kč/m2],10302,2024,2024,106753
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Hlavní město Praha,CZ010,,,Rodinné domy [Kč/m2],10302,2025,2025,119239
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Hlavní město Praha,CZ010,,,Byty [Kč/m2],10602,2019,2019,76391
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Hlavní město Praha,CZ010,,,Byty [Kč/m2],10602,2020,2020,85784
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Hlavní město Praha,CZ010,,,Byty [Kč/m2],10602,2021,2021,100809
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Hlavní město Praha,CZ010,,,Byty [Kč/m2],10602,2022,2022,112676
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Hlavní město Praha,CZ010,,,Byty [Kč/m2],10602,2023,2023,103693
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Hlavní město Praha,CZ010,,,Byty [Kč/m2],10602,2024,2024,115889
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Hlavní město Praha,CZ010,,,Byty [Kč/m2],10602,2025,2025,131520
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Středočeský kraj,CZ020,,,Rodinné domy [Kč/m2],10302,2019,2019,42935
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Středočeský kraj,CZ020,,,Rodinné domy [Kč/m2],10302,2020,2020,47670
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Středočeský kraj,CZ020,,,Rodinné domy [Kč/m2],10302,2021,2021,58253
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Středočeský kraj,CZ020,,,Rodinné domy [Kč/m2],10302,2022,2022,66053
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Středočeský kraj,CZ020,,,Rodinné domy [Kč/m2],10302,2023,2023,63843
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Středočeský kraj,CZ020,,,Rodinné domy [Kč/m2],10302,2024,2024,68704
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Středočeský kraj,CZ020,,,Rodinné domy [Kč/m2],10302,2025,2025,73814
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Středočeský kraj,CZ020,,,Byty [Kč/m2],10602,2019,2019,31208
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Středočeský kraj,CZ020,,,Byty [Kč/m2],10602,2020,2020,37326
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Středočeský kraj,CZ020,,,Byty [Kč/m2],10602,2021,2021,46983
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Středočeský kraj,CZ020,,,Byty [Kč/m2],10602,2022,2022,56001
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Středočeský kraj,CZ020,,,Byty [Kč/m2],10602,2023,2023,52768
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Středočeský kraj,CZ020,,,Byty [Kč/m2],10602,2024,2024,57450
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Středočeský kraj,CZ020,,,Byty [Kč/m2],10602,2025,2025,64911
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Jihočeský kraj,CZ031,,,Rodinné domy [Kč/m2],10302,2019,2019,30287
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Jihočeský kraj,CZ031,,,Rodinné domy [Kč/m2],10302,2020,2020,33414
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Jihočeský kraj,CZ031,,,Rodinné domy [Kč/m2],10302,2021,2021,39495
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Jihočeský kraj,CZ031,,,Rodinné domy [Kč/m2],10302,2022,2022,47320
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Jihočeský kraj,CZ031,,,Rodinné domy [Kč/m2],10302,2023,2023,45168
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Jihočeský kraj,CZ031,,,Rodinné domy [Kč/m2],10302,2024,2024,48006
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Jihočeský kraj,CZ031,,,Rodinné domy [Kč/m2],10302,2025,2025,51771
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Jihočeský kraj,CZ031,,,Byty [Kč/m2],10602,2019,2019,27412
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Jihočeský kraj,CZ031,,,Byty [Kč/m2],10602,2020,2020,32986
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Jihočeský kraj,CZ031,,,Byty [Kč/m2],10602,2021,2021,42169
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Jihočeský kraj,CZ031,,,Byty [Kč/m2],10602,2022,2022,50440
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Jihočeský kraj,CZ031,,,Byty [Kč/m2],10602,2023,2023,46010
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Jihočeský kraj,CZ031,,,Byty [Kč/m2],10602,2024,2024,49904
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Jihočeský kraj,CZ031,,,Byty [Kč/m2],10602,2025,2025,57739
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Plzeňský kraj,CZ032,,,Rodinné domy [Kč/m2],10302,2019,2019,30845
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Plzeňský kraj,CZ032,,,Rodinné domy [Kč/m2],10302,2020,2020,32923
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Plzeňský kraj,CZ032,,,Rodinné domy [Kč/m2],10302,2021,2021,39338
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Plzeňský kraj,CZ032,,,Rodinné domy [Kč/m2],10302,2022,2022,43989
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Plzeňský kraj,CZ032,,,Rodinné domy [Kč/m2],10302,2023,2023,43998
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Plzeňský kraj,CZ032,,,Rodinné domy [Kč/m2],10302,2024,2024,45745
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Plzeňský kraj,CZ032,,,Rodinné domy [Kč/m2],10302,2025,2025,51449
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Plzeňský kraj,CZ032,,,Byty [Kč/m2],10602,2019,2019,31302
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Plzeňský kraj,CZ032,,,Byty [Kč/m2],10602,2020,2020,34071
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Plzeňský kraj,CZ032,,,Byty [Kč/m2],10602,2021,2021,42838
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Plzeňský kraj,CZ032,,,Byty [Kč/m2],10602,2022,2022,52264
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Plzeňský kraj,CZ032,,,Byty [Kč/m2],10602,2023,2023,47729
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Plzeňský kraj,CZ032,,,Byty [Kč/m2],10602,2024,2024,52777
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Plzeňský kraj,CZ032,,,Byty [Kč/m2],10602,2025,2025,60281
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Karlovarský kraj,CZ041,,,Rodinné domy [Kč/m2],10302,2019,2019,25415
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Karlovarský kraj,CZ041,,,Rodinné domy [Kč/m2],10302,2020,2020,28661
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Karlovarský kraj,CZ041,,,Rodinné domy [Kč/m2],10302,2021,2021,32743
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Karlovarský kraj,CZ041,,,Rodinné domy [Kč/m2],10302,2022,2022,38860
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Karlovarský kraj,CZ041,,,Rodinné domy [Kč/m2],10302,2023,2023,36780
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Karlovarský kraj,CZ041,,,Rodinné domy [Kč/m2],10302,2024,2024,39724
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Karlovarský kraj,CZ041,,,Rodinné domy [Kč/m2],10302,2025,2025,43071
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Karlovarský kraj,CZ041,,,Byty [Kč/m2],10602,2019,2019,21256
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Karlovarský kraj,CZ041,,,Byty [Kč/m2],10602,2020,2020,23707
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Karlovarský kraj,CZ041,,,Byty [Kč/m2],10602,2021,2021,30042
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Karlovarský kraj,CZ041,,,Byty [Kč/m2],10602,2022,2022,36270
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Karlovarský kraj,CZ041,,,Byty [Kč/m2],10602,2023,2023,33664
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Karlovarský kraj,CZ041,,,Byty [Kč/m2],10602,2024,2024,36309
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Karlovarský kraj,CZ041,,,Byty [Kč/m2],10602,2025,2025,41915
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Ústecký kraj,CZ042,,,Rodinné domy [Kč/m2],10302,2019,2019,25357
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Ústecký kraj,CZ042,,,Rodinné domy [Kč/m2],10302,2020,2020,28258
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Ústecký kraj,CZ042,,,Rodinné domy [Kč/m2],10302,2021,2021,32157
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Ústecký kraj,CZ042,,,Rodinné domy [Kč/m2],10302,2022,2022,39170
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Ústecký kraj,CZ042,,,Rodinné domy [Kč/m2],10302,2023,2023,37968
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Ústecký kraj,CZ042,,,Rodinné domy [Kč/m2],10302,2024,2024,41870
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Ústecký kraj,CZ042,,,Rodinné domy [Kč/m2],10302,2025,2025,45623
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Ústecký kraj,CZ042,,,Byty [Kč/m2],10602,2019,2019,19954
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Ústecký kraj,CZ042,,,Byty [Kč/m2],10602,2020,2020,23343
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Ústecký kraj,CZ042,,,Byty [Kč/m2],10602,2021,2021,30832
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Ústecký kraj,CZ042,,,Byty [Kč/m2],10602,2022,2022,36318
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Ústecký kraj,CZ042,,,Byty [Kč/m2],10602,2023,2023,33679
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Ústecký kraj,CZ042,,,Byty [Kč/m2],10602,2024,2024,36296
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Ústecký kraj,CZ042,,,Byty [Kč/m2],10602,2025,2025,42375
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Liberecký kraj,CZ051,,,Rodinné domy [Kč/m2],10302,2019,2019,30149
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Liberecký kraj,CZ051,,,Rodinné domy [Kč/m2],10302,2020,2020,34316
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Liberecký kraj,CZ051,,,Rodinné domy [Kč/m2],10302,2021,2021,39535
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Liberecký kraj,CZ051,,,Rodinné domy [Kč/m2],10302,2022,2022,47752
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Liberecký kraj,CZ051,,,Rodinné domy [Kč/m2],10302,2023,2023,46440
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Liberecký kraj,CZ051,,,Rodinné domy [Kč/m2],10302,2024,2024,49514
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Liberecký kraj,CZ051,,,Rodinné domy [Kč/m2],10302,2025,2025,54328
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Liberecký kraj,CZ051,,,Byty [Kč/m2],10602,2019,2019,27554
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Liberecký kraj,CZ051,,,Byty [Kč/m2],10602,2020,2020,31559
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Liberecký kraj,CZ051,,,Byty [Kč/m2],10602,2021,2021,39514
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Liberecký kraj,CZ051,,,Byty [Kč/m2],10602,2022,2022,49414
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Liberecký kraj,CZ051,,,Byty [Kč/m2],10602,2023,2023,45561
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Liberecký kraj,CZ051,,,Byty [Kč/m2],10602,2024,2024,48930
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Liberecký kraj,CZ051,,,Byty [Kč/m2],10602,2025,2025,55695
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Královéhradecký kraj,CZ052,,,Rodinné domy [Kč/m2],10302,2019,2019,30327
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Královéhradecký kraj,CZ052,,,Rodinné domy [Kč/m2],10302,2020,2020,32374
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Královéhradecký kraj,CZ052,,,Rodinné domy [Kč/m2],10302,2021,2021,37787
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Královéhradecký kraj,CZ052,,,Rodinné domy [Kč/m2],10302,2022,2022,45583
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Královéhradecký kraj,CZ052,,,Rodinné domy [Kč/m2],10302,2023,2023,46338
