"Ukazatel","IndicatorType","Počet obyvatel obce","VELSKUPOBC","Území-Stát","Uz023h22.STAT","Území-Kraj","Uz023h22.KRAJ","Území-Okres","Uz023h22.OKRES","Druh nemovitosti","REPRCENNEM","Roční a 3-letá období","CAS1R3R1","Hodnota"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","","","","","Rodinné domy [Kč/m2]","10302","2019","2019","34513"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","","","","","Rodinné domy [Kč/m2]","10302","2020","2020","37244"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","","","","","Rodinné domy [Kč/m2]","10302","2021","2021","43044"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","","","","","Rodinné domy [Kč/m2]","10302","2019-2021","2019-2021","38345"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","","","","","Rodinné domy [Kč/m2]","10302","2022","2022","49782"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","","","","","Rodinné domy [Kč/m2]","10302","2020-2022","2020-2022","42763"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","","","","","Rodinné domy [Kč/m2]","10302","2023","2023","48320"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","","","","","Rodinné domy [Kč/m2]","10302","2021-2023","2021-2023","46541"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","","","","","Rodinné domy [Kč/m2]","10302","2024","2024","51867"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","","","","","Rodinné domy [Kč/m2]","10302","2022-2024","2022-2024","50185"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","","","","","Rodinné domy [Kč/m2]","10302","2025","2025","56066"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","","","","","Byty [Kč/m2]","10602","2019","2019","39306"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","","","","","Byty [Kč/m2]","10602","2020","2020","44082"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","","","","","Byty [Kč/m2]","10602","2021","2021","54461"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","","","","","Byty [Kč/m2]","10602","2019-2021","2019-2021","46408"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","","","","","Byty [Kč/m2]","10602","2022","2022","61742"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","","","","","Byty [Kč/m2]","10602","2020-2022","2020-2022","53222"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","","","","","Byty [Kč/m2]","10602","2023","2023","58641"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","","","","","Byty [Kč/m2]","10602","2021-2023","2021-2023","57899"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","","","","","Byty [Kč/m2]","10602","2024","2024","63521"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","","","","","Byty [Kč/m2]","10602","2022-2024","2022-2024","61483"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","","","","","Byty [Kč/m2]","10602","2025","2025","72410"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Hlavní město Praha","CZ010","","","Rodinné domy [Kč/m2]","10302","2019","2019","65815"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Hlavní město Praha","CZ010","","","Rodinné domy [Kč/m2]","10302","2020","2020","79703"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Hlavní město Praha","CZ010","","","Rodinné domy [Kč/m2]","10302","2021","2021","95870"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Hlavní město Praha","CZ010","","","Rodinné domy [Kč/m2]","10302","2019-2021","2019-2021","79275"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Hlavní město Praha","CZ010","","","Rodinné domy [Kč/m2]","10302","2022","2022","105434"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Hlavní město Praha","CZ010","","","Rodinné domy [Kč/m2]","10302","2020-2022","2020-2022","91986"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Hlavní město Praha","CZ010","","","Rodinné domy [Kč/m2]","10302","2023","2023","111087"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Hlavní město Praha","CZ010","","","Rodinné domy [Kč/m2]","10302","2021-2023","2021-2023","102456"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Hlavní město Praha","CZ010","","","Rodinné domy [Kč/m2]","10302","2024","2024","106753"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Hlavní město Praha","CZ010","","","Rodinné domy [Kč/m2]","10302","2022-2024","2022-2024","107339"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Hlavní město Praha","CZ010","","","Rodinné domy [Kč/m2]","10302","2025","2025","119239"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Hlavní město Praha","CZ010","","","Byty [Kč/m2]","10602","2019","2019","76391"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Hlavní město Praha","CZ010","","","Byty [Kč/m2]","10602","2020","2020","85784"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Hlavní město Praha","CZ010","","","Byty [Kč/m2]","10602","2021","2021","100809"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Hlavní město Praha","CZ010","","","Byty [Kč/m2]","10602","2019-2021","2019-2021","88629"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Hlavní město Praha","CZ010","","","Byty [Kč/m2]","10602","2022","2022","112676"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Hlavní město Praha","CZ010","","","Byty [Kč/m2]","10602","2020-2022","2020-2022","99503"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Hlavní město Praha","CZ010","","","Byty [Kč/m2]","10602","2023","2023","103693"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Hlavní město Praha","CZ010","","","Byty [Kč/m2]","10602","2021-2023","2021-2023","105082"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Hlavní město Praha","CZ010","","","Byty [Kč/m2]","10602","2024","2024","115889"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Hlavní město Praha","CZ010","","","Byty [Kč/m2]","10602","2022-2024","2022-2024","111088"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Hlavní město Praha","CZ010","","","Byty [Kč/m2]","10602","2025","2025","131520"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Středočeský kraj","CZ020","","","Rodinné domy [Kč/m2]","10302","2019","2019","42935"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Středočeský kraj","CZ020","","","Rodinné domy [Kč/m2]","10302","2020","2020","47670"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Středočeský kraj","CZ020","","","Rodinné domy [Kč/m2]","10302","2021","2021","58253"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Středočeský kraj","CZ020","","","Rodinné domy [Kč/m2]","10302","2019-2021","2019-2021","49122"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Středočeský kraj","CZ020","","","Rodinné domy [Kč/m2]","10302","2022","2022","66053"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Středočeský kraj","CZ020","","","Rodinné domy [Kč/m2]","10302","2020-2022","2020-2022","55868"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Středočeský kraj","CZ020","","","Rodinné domy [Kč/m2]","10302","2023","2023","63843"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Středočeský kraj","CZ020","","","Rodinné domy [Kč/m2]","10302","2021-2023","2021-2023","62004"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Středočeský kraj","CZ020","","","Rodinné domy [Kč/m2]","10302","2024","2024","68704"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Středočeský kraj","CZ020","","","Rodinné domy [Kč/m2]","10302","2022-2024","2022-2024","66493"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Středočeský kraj","CZ020","","","Rodinné domy [Kč/m2]","10302","2025","2025","73814"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Středočeský kraj","CZ020","","","Byty [Kč/m2]","10602","2019","2019","31208"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Středočeský kraj","CZ020","","","Byty [Kč/m2]","10602","2020","2020","37326"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Středočeský kraj","CZ020","","","Byty [Kč/m2]","10602","2021","2021","46983"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Středočeský kraj","CZ020","","","Byty [Kč/m2]","10602","2019-2021","2019-2021","38494"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Středočeský kraj","CZ020","","","Byty [Kč/m2]","10602","2022","2022","56001"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Středočeský kraj","CZ020","","","Byty [Kč/m2]","10602","2020-2022","2020-2022","45938"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Středočeský kraj","CZ020","","","Byty [Kč/m2]","10602","2023","2023","52768"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Středočeský kraj","CZ020","","","Byty [Kč/m2]","10602","2021-2023","2021-2023","51514"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Středočeský kraj","CZ020","","","Byty [Kč/m2]","10602","2024","2024","57450"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Středočeský kraj","CZ020","","","Byty [Kč/m2]","10602","2022-2024","2022-2024","55582"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Středočeský kraj","CZ020","","","Byty [Kč/m2]","10602","2025","2025","64911"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Jihočeský kraj","CZ031","","","Rodinné domy [Kč/m2]","10302","2019","2019","30287"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Jihočeský kraj","CZ031","","","Rodinné domy [Kč/m2]","10302","2020","2020","33414"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Jihočeský kraj","CZ031","","","Rodinné domy [Kč/m2]","10302","2021","2021","39495"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Jihočeský kraj","CZ031","","","Rodinné domy [Kč/m2]","10302","2019-2021","2019-2021","34286"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Jihočeský kraj","CZ031","","","Rodinné domy [Kč/m2]","10302","2022","2022","47320"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Jihočeský kraj","CZ031","","","Rodinné domy [Kč/m2]","10302","2020-2022","2020-2022","38734"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Jihočeský kraj","CZ031","","","Rodinné domy [Kč/m2]","10302","2023","2023","45168"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Jihočeský kraj","CZ031","","","Rodinné domy [Kč/m2]","10302","2021-2023","2021-2023","43274"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Jihočeský kraj","CZ031","","","Rodinné domy [Kč/m2]","10302","2024","2024","48006"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Jihočeský kraj","CZ031","","","Rodinné domy [Kč/m2]","10302","2022-2024","2022-2024","46932"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Jihočeský kraj","CZ031","","","Rodinné domy [Kč/m2]","10302","2025","2025","51771"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Jihočeský kraj","CZ031","","","Byty [Kč/m2]","10602","2019","2019","27412"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Jihočeský kraj","CZ031","","","Byty [Kč/m2]","10602","2020","2020","32986"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Jihočeský kraj","CZ031","","","Byty [Kč/m2]","10602","2021","2021","42169"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Jihočeský kraj","CZ031","","","Byty [Kč/m2]","10602","2019-2021","2019-2021","34491"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Jihočeský kraj","CZ031","","","Byty [Kč/m2]","10602","2022","2022","50440"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Jihočeský kraj","CZ031","","","Byty [Kč/m2]","10602","2020-2022","2020-2022","41082"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Jihočeský kraj","CZ031","","","Byty [Kč/m2]","10602","2023","2023","46010"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Jihočeský kraj","CZ031","","","Byty [Kč/m2]","10602","2021-2023","2021-2023","45749"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Jihočeský kraj","CZ031","","","Byty [Kč/m2]","10602","2024","2024","49904"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Jihočeský kraj","CZ031","","","Byty [Kč/m2]","10602","2022-2024","2022-2024","48960"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Jihočeský kraj","CZ031","","","Byty [Kč/m2]","10602","2025","2025","57739"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Plzeňský kraj","CZ032","","","Rodinné domy [Kč/m2]","10302","2019","2019","30845"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Plzeňský kraj","CZ032","","","Rodinné domy [Kč/m2]","10302","2020","2020","32923"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Plzeňský kraj","CZ032","","","Rodinné domy [Kč/m2]","10302","2021","2021","39338"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Plzeňský kraj","CZ032","","","Rodinné domy [Kč/m2]","10302","2019-2021","2019-2021","34428"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Plzeňský kraj","CZ032","","","Rodinné domy [Kč/m2]","10302","2022","2022","43989"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Plzeňský kraj","CZ032","","","Rodinné domy [Kč/m2]","10302","2020-2022","2020-2022","38120"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Plzeňský kraj","CZ032","","","Rodinné domy [Kč/m2]","10302","2023","2023","43998"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Plzeňský kraj","CZ032","","","Rodinné domy [Kč/m2]","10302","2021-2023","2021-2023","42055"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Plzeňský kraj","CZ032","","","Rodinné domy [Kč/m2]","10302","2024","2024","45745"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Plzeňský kraj","CZ032","","","Rodinné domy [Kč/m2]","10302","2022-2024","2022-2024","44719"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Plzeňský kraj","CZ032","","","Rodinné domy [Kč/m2]","10302","2025","2025","51449"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Plzeňský kraj","CZ032","","","Byty [Kč/m2]","10602","2019","2019","31302"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Plzeňský kraj","CZ032","","","Byty [Kč/m2]","10602","2020","2020","34071"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Plzeňský kraj","CZ032","","","Byty [Kč/m2]","10602","2021","2021","42838"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Plzeňský kraj","CZ032","","","Byty [Kč/m2]","10602","2019-2021","2019-2021","36112"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Plzeňský kraj","CZ032","","","Byty [Kč/m2]","10602","2022","2022","52264"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Plzeňský kraj","CZ032","","","Byty [Kč/m2]","10602","2020-2022","2020-2022","42675"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Plzeňský kraj","CZ032","","","Byty [Kč/m2]","10602","2023","2023","47729"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Plzeňský kraj","CZ032","","","Byty [Kč/m2]","10602","2021-2023","2021-2023","47262"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Plzeňský kraj","CZ032","","","Byty [Kč/m2]","10602","2024","2024","52777"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Plzeňský kraj","CZ032","","","Byty [Kč/m2]","10602","2022-2024","2022-2024","51134"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Plzeňský kraj","CZ032","","","Byty [Kč/m2]","10602","2025","2025","60281"
"Průměrná jednotková kupní cena nemovitosti","7432","Celkem","0","Česko","CZ","Karlovarský kraj","CZ041","","","Rodinné domy [Kč/m2]","10302","2019","2019","25415"
