Ukazatel,Čtvrtletí,Šetření,"ČR, regiony, kraje-Stát","ČR, regiony, kraje-Region","ČR, regiony, kraje-Kraj",Hodnota,MJ_TEXT,MJ_SYMBOL
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),1. čtvrtletí 2026,Pracovištní metoda,Česko,,,50282.2810779239,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),1. čtvrtletí 2026,Pracovištní metoda,Česko,Praha,,67945.354309043,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),1. čtvrtletí 2026,Pracovištní metoda,Česko,Střední Čechy,,49145.1082122793,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),1. čtvrtletí 2026,Pracovištní metoda,Česko,Jihozápad,,46085.629956527,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),1. čtvrtletí 2026,Pracovištní metoda,Česko,Severozápad,,44671.2453497883,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),1. čtvrtletí 2026,Pracovištní metoda,Česko,Severovýchod,,44479.783935651,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),1. čtvrtletí 2026,Pracovištní metoda,Česko,Jihovýchod,,48277.6049106834,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),1. čtvrtletí 2026,Pracovištní metoda,Česko,Střední Morava,,43465.6937417117,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),1. čtvrtletí 2026,Pracovištní metoda,Česko,Moravskoslezsko,,45012.9006749572,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),1. čtvrtletí 2026,Pracovištní metoda,Česko,Praha,Hlavní město Praha,67945.354309043,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),1. čtvrtletí 2026,Pracovištní metoda,Česko,Střední Čechy,Středočeský kraj,49145.1082122793,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),1. čtvrtletí 2026,Pracovištní metoda,Česko,Jihozápad,Jihočeský kraj,45070.5311535679,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),1. čtvrtletí 2026,Pracovištní metoda,Česko,Jihozápad,Plzeňský kraj,47076.015128763,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),1. čtvrtletí 2026,Pracovištní metoda,Česko,Severozápad,Karlovarský kraj,42391.1770102505,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),1. čtvrtletí 2026,Pracovištní metoda,Česko,Severozápad,Ústecký kraj,45482.3262519195,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),1. čtvrtletí 2026,Pracovištní metoda,Česko,Severovýchod,Liberecký kraj,44673.3127333615,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),1. čtvrtletí 2026,Pracovištní metoda,Česko,Severovýchod,Královéhradecký kraj,44673.2947927193,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),1. čtvrtletí 2026,Pracovištní metoda,Česko,Severovýchod,Pardubický kraj,44120.7875978285,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),1. čtvrtletí 2026,Pracovištní metoda,Česko,Jihovýchod,Kraj Vysočina,44905.9597268978,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),1. čtvrtletí 2026,Pracovištní metoda,Česko,Jihovýchod,Jihomoravský kraj,49509.8682108201,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),1. čtvrtletí 2026,Pracovištní metoda,Česko,Střední Morava,Olomoucký kraj,43819.1358974277,koruna česká,Kč
