"Ukazatel","Čtvrtletí","Šetření","ČR, regiony, kraje-Stát","ČR, regiony, kraje-Region","ČR, regiony, kraje-Kraj","Hodnota","MJ_TEXT","MJ_SYMBOL"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","1. čtvrtletí 2026","Pracovištní metoda","Česko","","","4040.3460044503","tisíc osob","tis. osob (tis. os.)"
"Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob)","1. čtvrtletí 2026","Pracovištní metoda","Česko","","","22.7785011959","",""
"Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%)","1. čtvrtletí 2026","Pracovištní metoda","Česko","","","100.5669724573","procento","%"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","1. čtvrtletí 2026","Pracovištní metoda","Česko","","","50282.2810779239","koruna česká","Kč"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč)","1. čtvrtletí 2026","Pracovištní metoda","Česko","","","3789.1573317402","",""
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%)","1. čtvrtletí 2026","Pracovištní metoda","Česko","","","108.1499306272","procento","%"
"Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob)","1. čtvrtletí 2026","Pracovištní metoda","Česko","","","4260.4452455947","tisíc osob","tis. osob (tis. os.)"
"Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob)","1. čtvrtletí 2026","Pracovištní metoda","Česko","","","18.8322164444","",""
"Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%)","1. čtvrtletí 2026","Pracovištní metoda","Česko","","","100.4439871416","",""
"Průměrná hrubá měsíční mzda na fyzické osoby (Kč)","1. čtvrtletí 2026","Pracovištní metoda","Česko","","","47684.6436784756","koruna česká","Kč"
"Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč)","1. čtvrtletí 2026","Pracovištní metoda","Česko","","","3647.3253743885","",""
"Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%)","1. čtvrtletí 2026","Pracovištní metoda","Česko","","","108.2823512304","procento","%"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Praha","","781.0539036446","tisíc osob","tis. osob (tis. os.)"
"Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Praha","","10.6390262212","",""
"Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Praha","","101.3809476599","procento","%"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Praha","","67945.354309043","koruna česká","Kč"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Praha","","5150.5646697","",""
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Praha","","108.2022166159","procento","%"
"Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Praha","","832.5347402013","tisíc osob","tis. osob (tis. os.)"
"Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Praha","","9.053855053","",""
"Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Praha","","101.099461471","",""
"Průměrná hrubá měsíční mzda na fyzické osoby (Kč)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Praha","","63743.8675589209","koruna česká","Kč"
"Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Praha","","4995.6427545184","",""
"Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Praha","","108.5034786517","procento","%"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Střední Čechy","","431.015998894","tisíc osob","tis. osob (tis. os.)"
"Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Střední Čechy","","3.4446596073","",""
"Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Střední Čechy","","100.8056338886","procento","%"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Střední Čechy","","49145.1082122793","koruna česká","Kč"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Střední Čechy","","3404.1087813839","",""
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Střední Čechy","","107.4421390519","procento","%"
"Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Střední Čechy","","451.4743174987","tisíc osob","tis. osob (tis. os.)"
"Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Střední Čechy","","3.0716455818","",""
"Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Střední Čechy","","100.6850194645","",""
"Průměrná hrubá měsíční mzda na fyzické osoby (Kč)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Střední Čechy","","46918.1237688745","koruna česká","Kč"
"Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Střední Čechy","","3302.1026970595","",""
"Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Střední Čechy","","107.5708480873","procento","%"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Jihozápad","","452.0900890321","tisíc osob","tis. osob (tis. os.)"
"Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Jihozápad","","0.7422690553","",""
"Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Jihozápad","","100.1644561073","procento","%"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Jihozápad","","46085.629956527","koruna česká","Kč"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Jihozápad","","3676.4987036187","",""
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Jihozápad","","108.669120529","procento","%"
"Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Jihozápad","","475.5077485414","tisíc osob","tis. osob (tis. os.)"
"Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Jihozápad","","0.5998899371","",""
"Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Jihozápad","","100.1263171216","",""
"Průměrná hrubá měsíční mzda na fyzické osoby (Kč)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Jihozápad","","43816.0190113745","koruna česká","Kč"
"Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Jihozápad","","3510.7922367268","",""
"Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Jihozápad","","108.710513543","procento","%"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Severozápad","","332.8836088297","tisíc osob","tis. osob (tis. os.)"
"Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Severozápad","","0.0987498288","",""
"Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Severozápad","","100.0296737745","procento","%"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Severozápad","","44671.2453497883","koruna česká","Kč"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Severozápad","","2756.8161174044","",""
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Severozápad","","106.5772483794","procento","%"
"Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Severozápad","","348.9215387928","tisíc osob","tis. osob (tis. os.)"
"Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Severozápad","","0.0360615164","",""
