Date,Open,High,Low,Close,Volume
2010-12-31,0.04951,0.5,0.01,0.3,0
2011-12-31,0.3,31.91,0.289,4.72,0
2012-12-31,4.72,15.4,3.88,13.51,0
2013-12-31,13.51,1241.92,13.16,805.94,0
2014-12-31,805.94,1093.44,91.66,318.24,0
2015-12-31,318.24,492.8,157.29,429.95,0
2016-12-31,429.95,982.57,350.39,963.38,0
2017-12-31,963.38,19870.62,739.55,13850.4,0
2018-12-31,13850.49,17252.85,3169.82,3743.77,0
2019-12-31,3743.61,13823.31,3363.36,7189.43,0
2020-12-31,7187.75,29301.37,3953.37,29110.37,0
2021-12-31,29129.06,68976.48,28496.8,46308.62,366664.64126011
2022-12-31,46308.61,48209.11,15473.92,16512.62,130755476.69303
2023-12-31,16510.14,44716.54,16479.99,42247.33,74593454.540216
2024-12-31,42250.67,108345,38514,93314.95,23248737.928219
2025-12-31,93314.95,126300.6,74437.39,87623.02,11394209.714074
2026-12-31,87623.03,97915.61,57739.48,78709.84,8668274.7749433
