Date,Open,High,Low,Close
2010-12-31,1095.2,1430.6,1043.72,1420.55
2011-12-31,1419,1921.07,1308.26,1564.81
2012-12-31,1569.36,1795.54,1526.63,1676.4
2013-12-31,1670.6,1696.09,1180.16,1204.12
2014-12-31,1205.1,1388.34,1131.78,1183
2015-12-31,1187.09,1306.43,1046.64,1061.46
2016-12-31,1064.65,1375.42,1062.61,1150.91
2017-12-31,1150.53,1357.56,1146.18,1303.33
2018-12-31,1303.38,1366.12,1160.31,1282.56
2019-12-31,1282.6,1557.1,1266.48,1517.305
2020-12-31,1518.17,2075.11,1451.28,1898.705
2021-12-31,1903.49,1959.11,1671.9,1829.5
2022-12-31,1830.05,2069.94,1614.905,1823.48
2023-12-31,1828.86,2144.83,1805.1,2063.235
2024-12-31,2063.76,2790.08,1984.39,2624.585
2025-12-31,2624.835,4549.815,2615.265,4318.59
2026-12-31,4333.37,5595.435,3945.245,4594.695
